"SYS.STBR-NAME","ACCT-NO","REFERENCE NUMBER","VC-NUMBER-CAT","VENDORCUSTOMER NAME","POST-DATE-CAT","TIME-DR","GL-DESC","RECID","REF-NO","SLS-GRS-PFT-CAT","JRNL-DATE","RO-NO","SRC","UDF.SOURCE DESCRIPTION"
"Honda of Concord","1260A","HOW391215",179221,"SCOTT CLARK HONDA","06/16/25","09:12","P & A HONDA CARS",191136,"HOW391215",,"06/16/25",91215,9,"GENERAL PURCHASES"
"Honda of Concord","1261A","HOI463636",100,"HONDA OF CONCORD","06/16/25","09:12","HONDA ACCESSORIES",191137,"HOI463636",12.24,"06/16/25",63636,4,"PARTS"
"Honda of Concord","1260A","HOW391260",179221,"SCOTT CLARK HONDA","06/16/25","09:12","P & A HONDA CARS",191138,"HOW391260",,"06/16/25",91260,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","HOW60818",888035,"HENDRICK HONDA","06/16/25","09:13","P & A HONDA CARS",191139,"HOW60818",,"06/16/25",0818,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395282,195895,"NAPA AUTO PARTS","06/16/25","09:14","P & A HONDA CARS",191140,395282,,"06/16/25",82,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395265,195895,"NAPA AUTO PARTS","06/16/25","09:14","P & A HONDA CARS",191141,395265,,"06/16/25",65,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395326,195895,"NAPA AUTO PARTS","06/16/25","09:14","P & A HONDA CARS",191142,395326,,"06/16/25",26,9,"GENERAL PURCHASES"
"Honda of Concord","1261A","HOI463637",100,"HONDA OF CONCORD","06/16/25","09:16","HONDA ACCESSORIES",191143,"HOI463637",12.24,"06/16/25",63637,4,"PARTS"
"Honda of Concord","1260A","41-0410690",151634,"BLACK'S TIRE SERVICE INC.","06/16/25","09:18","P & A HONDA CARS",191150,"41-0410690",,"06/16/25",410690,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","HOW390692",179221,"SCOTT CLARK HONDA","06/16/25","09:18","P & A HONDA CARS",191152,"HOW390692",,"06/16/25",90692,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","41-0411938",151634,"BLACK'S TIRE SERVICE INC.","06/16/25","09:19","P & A HONDA CARS",191155,"41-0411938",,"06/16/25",411938,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","41-0411044",151634,"BLACK'S TIRE SERVICE INC.","06/16/25","09:19","P & A HONDA CARS",191156,"41-0411044",,"06/16/25",411044,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","HOW390970",179221,"SCOTT CLARK HONDA","06/16/25","09:20","P & A HONDA CARS",191157,"HOW390970",,"06/16/25",90970,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","HOW391201",179221,"SCOTT CLARK HONDA","06/16/25","09:20","P & A HONDA CARS",191158,"HOW391201",,"06/16/25",91201,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",43175671,187364,"DEALER TIRE","06/16/25","09:20","P & A HONDA CARS",191159,43175671,,"06/16/25",5671,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395451,195895,"NAPA AUTO PARTS","06/16/25","09:21","P & A HONDA CARS",191161,395451,,"06/16/25",51,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395442,195895,"NAPA AUTO PARTS","06/16/25","09:21","P & A HONDA CARS",191164,395442,,"06/16/25",42,9,"GENERAL PURCHASES"
"Honda of Concord","1261A","HOW60919",888035,"HENDRICK HONDA","06/16/25","09:21","HONDA ACCESSORIES",191165,"HOW60919",,"06/16/25",0919,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395164,195895,"NAPA AUTO PARTS","06/16/25","09:22","P & A HONDA CARS",191167,395164,,"06/16/25",64,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","CHW210100",888169,"HENDRICK CHRYSLER DODGE JEEP RAM FI","06/16/25","09:22","P & A HONDA CARS",191168,"CHW210100",,"06/16/25",10100,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395031,195895,"NAPA AUTO PARTS","06/16/25","09:22","P & A HONDA CARS",191170,395031,,"06/16/25",31,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",803573,50568,"ISGETT DISTRIBUTORS INC","06/16/25","09:23","P & A HONDA CARS",191174,803573,,"06/16/25",73,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",9903752775,304379,"VGP HOLDINGS LLC","06/16/25","09:24","P & A HONDA CARS",191175,9903752775,,"06/16/25",752775,9,"GENERAL PURCHASES"
