"SYS.STBR-NAME","PART#","PTS MK NAME","DESC","BASE-COST","NEW CORE PARTS","QOH","STAT","LAST SLS","LAST-RECV-DATE","SRC","BIN1","BIN2","COST","LIST","OLD PARTS NUMBER","CORE-QTY","GRP","ASSORTMENT-CLASS","STAT","UDF.EXT NEW CORE APP","NUMBER OF UNITS PER PKG","DIRTY CORE PARTS","BIN FOR DIRTY CORE"
"Honda of Concord","HP04715-TGG-A00ZZ","HONDA","FACE, RR. BUMPER",229.23,0.00,1,,"06/04/25","05/22/25",6,"736B",,229.23,382.05,,,71501,,,0,1,0.00,"736B"
"Honda of Concord","HP04716-TR3-A90","HONDA","FACE, RR. BMPR (DOT)",100.93,0.00,2,"AP","05/13/24","11/10/23",8,"551A",,100.93,168.22,,,76220,,"AP",0,1,0.00,"551A"
"Honda of Concord","HP04718-3A0-A00ZZ","HONDA","FACE, L. RR. BUMPER",123.96,0.00,1,,"04/24/25","04/19/25",6,"553E",,123.96,206.60,"HP04718-T95-A00ZZ",,71501,,,0,1,0.00,"553E"
"Honda of Concord","HP04770-S5A-405","HONDA","KIT, INFLATOR COMP",63.09,0.00,1,,"05/15/25","04/03/25",6,110,,63.09,88.36,,,06999,,,0,1,0.00,110
"Honda of Concord","HP04770-S9A-409","HONDA","KIT, INFLATOR COMP",63.09,0.00,2,"AP",,"04/16/25",6,110,,63.09,88.36,"HP04770-S9A-405",,06999,,"AP",0,1,0.00,110
"Honda of Concord","HP04790-S0X-315","HONDA","KIT, INFLATOR COMP",60.40,0.00,1,"NS",,"01/18/25",6,110,,60.40,92.92,,,06999,,"NS",0,1,0.00,110
"Honda of Concord","HP04790-S5A-318","HONDA","KIT, INFLATOR COMP",60.40,0.00,1,,"05/01/25","04/29/25",6,110,,60.40,92.92,,,06999,,,0,1,0.00,110
"Honda of Concord","HP04790-S9V-315","HONDA","KIT, INFLATOR COMP",60.40,0.00,2,"AP","06/12/25","04/16/25",6,110,,60.40,92.92,,,06999,,"AP",0,1,0.00,110
"Honda of Concord","HP04790-SCV-318","HONDA","KIT, INFLATOR COMP",60.40,0.00,1,"NS",,"12/17/24",6,110,,60.40,92.92,,,06999,,"NS",0,1,0.00,110
"Honda of Concord","HP04790-SNA-407","HONDA","KIT, INFLATOR COMP",60.40,0.00,2,,"12/18/24","05/01/25",6,110,,60.40,92.92,,,06999,,,0,1,0.00,110
"Honda of Concord","HP04790-TM8-A00","HONDA","KIT, INFLATOR COMP",60.40,0.00,1,"AP","01/17/24","01/17/24",6,110,,60.40,92.92,,,06999,,"AP",0,1,0.00,110
"Honda of Concord","HP04810-SB3-000","HONDA","C-CLIP SET",8.71,0.00,2,,"06/05/25","06/06/25",4,"190A",,8.71,14.52,"HP81239-S0X-A01",0,90600,,,0,1,0.00,"190A"
"Honda of Concord","HP04813-SWA-A00ZB","HONDA","BUCKLE SET *NH642L*",202.11,0.00,1,"AP","11/10/23","09/12/23",6,106,,202.11,336.85,,,81455,,"AP",0,1,0.00,106
"Honda of Concord","HP04813-T90-A40ZA","HONDA","BUCKLE SET *NH900L*",58.60,0.00,1,"AP","07/30/24","07/31/24",6,106,,58.60,97.67,,,81455,,"AP",0,1,0.00,106
"Honda of Concord","HP04813-TG7-A30ZA","HONDA","BUCKLE SET *NH900L*",58.48,0.00,1,"AP","09/23/24","08/14/24",6,121,,58.48,97.47,,,81455,,"AP",0,1,0.00,121
"Honda of Concord","HP04813-TK6-A01ZA","HONDA","BUCKLE SET *NH167L*",126.32,0.00,1,"NS","04/08/25","04/04/25",6,106,,126.32,210.53,"HP04813-TK6-A00ZA",,81455,,"NS",0,1,0.00,106
"Honda of Concord","HP04816-TG7-A30ZB","HONDA","BUCKLE SET *NH900L*",58.49,0.00,1,"AP","09/23/24","08/14/24",6,121,,58.49,97.48,,,81455,,"AP",0,1,0.00,121
"Honda of Concord","HP04816-TLA-A30ZA","HONDA","BUCKLE SET *YR449L*",66.91,0.00,1,"AP",,,6,103,,66.91,111.52,,,81455,,"AP",0,1,0.00,103
"Honda of Concord","HP04816-TR3-A10ZD","HONDA","BUCKLE SET *NH167L*",72.47,0.00,2,"AP","01/12/24","05/21/24",6,103,,72.47,120.78,,,81455,,"AP",0,1,0.00,103
"Honda of Concord","HP04816-TVA-A30ZA","HONDA","BUCKLE SET *NH900L*",57.45,0.00,1,"AP","03/10/25","10/23/24",6,"SPORD",,57.45,95.75,,,81455,,"AP",0,1,0.00,"SPORD"
"Honda of Concord","HP04818-3A0-A00ZB","HONDA","OTR ST, L. *NH882L*",205.81,0.00,1,"NS",,"06/14/25",6,"SPORD",,205.81,343.02,,,81400,,"NS",0,1,0.00,"SPORD"
"Honda of Concord","HP04818-SNA-A01ZA","HONDA","TONGUE SET *NH598L*",458.15,0.00,1,"AP",,"11/20/24",6,532,,458.15,763.58,"HP04818-SNA-A00ZA",,81400,,"AP",0,1,0.00,532
"Honda of Concord","HP04818-T2F-A00ZH","HONDA","OTR ST, L. (TYPEZ)",296.22,0.00,1,"AP",,"11/06/24",6,102,,296.22,493.70,,,81400,,"AP",0,1,0.00,102
"Honda of Concord","HP04818-TR3-A30ZA","HONDA","OTR ST, L. *NH167L*",252.88,0.00,1,"AP","02/13/25","02/14/25",6,102,,252.88,421.47,,,81400,,"AP",0,1,0.00,102
"Honda of Concord","HP04824-T39-A00ZA","HONDA","OTR ST, R. *NH900L*",129.56,0.00,1,"NS","04/22/25","03/28/25",6,102,,129.56,215.93,,,82480,,"NS",0,1,0.00,102
"Honda of Concord","HP04826-TBA-A01ZA","HONDA","BUCKLE SET *NH900L*",66.25,0.00,1,"AP","01/09/24","01/09/24",6,102,,66.25,110.42,"HP04826-TBA-A00ZA",,82480,,"AP",0,1,0.00,102
"Honda of Concord","HP04863-T90-A01ZA","HONDA","BUCKLE SET R*NH900L*",47.25,0.00,1,,"06/12/25","06/12/25",6,134,,47.25,78.75,"HP04863-T90-A00ZA",,81600,,,0,1,0.00,134
"Honda of Concord","HP04864-T90-A00ZA","HONDA","OTR ST, R. *NH900L*",116.40,0.00,1,"NS","06/10/25","06/10/25",6,"SPORD",,116.40,194.00,,,81600,,"NS",0,1,0.00,"SPORD"
"Honda of Concord","HP04945-T5R-A00","HONDA","SERVICE KIT,FR SE",66.08,0.00,2,,"06/13/25","05/15/25",6,144,,66.08,110.14,,,06999,,,0,1,0.00,144
"Honda of Concord","HP04945-TBA-A00","HONDA","SERVICE KIT,FR SE",33.23,0.00,3,,"06/10/25","06/13/25",6,144,,33.23,55.39,,,06999,,,0,1,0.00,144
"Honda of Concord","HP06011-5J2-305","HONDA","CONROD BEARING KIT 1",7.65,0.00,3,"AP","01/15/25","01/16/25",6,"198F",,7.65,12.75,,,13210,,"AP",0,1,0.00,"198F"
"Honda of Concord","HP06012-5J2-305","HONDA","CONROD BEARING KIT 2",3.53,0.00,1,,"05/14/25","05/15/25",6,"198F",,3.53,5.88,,,13210,,,0,1,0.00,"198F"
"Honda of Concord","HP06110-5PA-A01","HONDA","GASKET KIT, CYL HD",269.78,0.00,2,"AP","06/04/25","06/04/25",6,"SPORD",,269.78,449.63,"HP06110-5PA-A00",,06110,,"AP",0,1,0.00,"SPORD"
"Honda of Concord","HP06110-6A0-A01","HONDA","GASKET KIT, CYL HD",238.30,0.00,1,,"06/10/25","05/09/25",4,"560B",,238.30,397.17,,,06110,,,0,1,0.00,"560B"
"Honda of Concord","HP06110-RGL-A03","HONDA","GASKET KIT, FR.",199.57,0.00,1,"AP",,"11/29/24",6,540,,199.57,332.62,"HP06110-RGM-A02",,06110,,"AP",0,1,0.00,540
"Honda of Concord","HP06120-RLV-000","HONDA","GASKET KIT, RR.",199.57,0.00,1,"AP","10/03/23","11/15/23",6,"501A",,199.57,332.62,,,06110,,"AP",0,1,0.00,"501A"
"Honda of Concord","HP06160-5PA-305","HONDA","INJECTOR KIT, FUEL",433.76,0.00,2,,"06/11/25","06/12/25",1,122,,433.76,722.93,,,06160,,,0,1,0.00,122
"Honda of Concord","HP06160-5R1-000","HONDA","INJECTOR KIT, FUEL",245.00,0.00,2,,"03/17/25","03/18/25",5,121,,245.00,408.33,,,06999,,,0,1,0.00,121
"Honda of Concord","HP06160-64A-305","HONDA","INJECTOR KIT, FUEL",312.17,0.00,1,"NS","05/13/25","05/08/25",6,"SPORD",,312.17,520.28,,,16450,,"NS",0,1,0.00,"SPORD"
"Honda of Concord","HP06160-RLV-305","HONDA","INJECTOR KIT, FUEL",225.00,0.00,2,,"06/16/25","06/10/25",1,121,,225.00,375.00,,,06999,,,0,1,0.00,121
"Honda of Concord","HP06161-5LA-305","HONDA","PUMP KIT",497.08,0.00,1,,"05/07/25","05/08/25",5,105,,497.08,828.47,,,16700,,,0,1,0.00,105
"Honda of Concord","HP06161-RLV-305","HONDA","PUMP KIT",422.11,0.00,1,,"05/08/25","05/10/25",4,105,,422.11,703.52,,,16700,,,0,1,0.00,105
"Honda of Concord","HP06170-T7L-305","HONDA","KIT, F/PUMP",41.55,0.00,3,,"05/29/25","06/07/25",6,162,,41.55,69.25,,,06999,,,0,1,0.00,162
"Honda of Concord","HP06170-TBA-306","HONDA","KIT, FUEL PUMP",33.65,0.00,11,,"06/16/25","06/14/25",6,162,,33.65,56.09,,,16700,,,0,1,0.00,162
"Honda of Concord","HP06170-TBF-306","HONDA","KIT, FUEL PUMP",24.77,0.00,1,,"05/24/25","06/10/25",6,162,,24.77,41.28,,,06999,,,0,1,0.00,162
"Honda of Concord","HP06170-TED-306","HONDA","KIT,F/PUMP & L/N",72.90,0.00,3,,"06/09/25","06/10/25",6,162,,72.90,121.50,,,16700,,,0,1,0.00,162
"Honda of Concord","HP06170-TG7-305","HONDA","KIT, FUEL PUMP",44.62,0.00,1,,"06/12/25","06/11/25",6,162,,44.62,74.36,,,06999,,,0,1,0.00,162
"Honda of Concord","HP06170-TGH-316","HONDA","KIT, F/PUMP",29.99,0.00,2,"AP","12/18/24","03/05/25",6,162,,29.99,49.98,,,06999,,"AP",0,1,0.00,162
"Honda of Concord","HP06170-THR-306","HONDA","KIT, FUEL PUMP",34.41,0.00,1,,"06/16/25","06/11/25",6,162,,34.41,57.35,,,06999,,,0,1,0.00,162
"Honda of Concord","HP06170-TLA-306","HONDA","KIT, FUEL PUMP",34.18,0.00,16,,"06/16/25","06/14/25",6,162,,34.18,56.97,,,06999,,,0,1,0.00,162
"Honda of Concord","HP06170-TRN-305","HONDA","KIT, F/PUMP",35.68,0.00,1,,"05/13/25","05/13/25",6,162,,35.68,59.47,,,06999,,,0,1,0.00,162
"Honda of Concord","HP06170-TRW-305","HONDA","KIT,F/PUMP & L/N",68.62,0.00,1,,"03/04/25","04/08/25",6,162,,68.62,114.37,,,16700,,,0,1,0.00,162
