SYS.STBR-NAME,MAKE,DTL-6,DTL-CAT,TRANS-DATE,DOROTHY HILL,TRANS #,PART #,DESC,Ideal Components,TRANS-TYPE,TRANS-QTY,Central Supply,SALE,SRC-CAT,USER-ID,INV-NO,BIN1-DR,ADV-NO,CTRMN,CUST-NO,CUST-PO,PART-NO
Delta Dealer,HP, ,  Z      P,06/16/25,12:34,675-34173,08CLA-P99-0F0A8,Noble Components,,SLS,1,13.05,23.84,9,144626IMUNOZ,FAKE_109,305,140746,577572,406294,,HP08CLA-P99-0F0A8
Delta Dealer,HP, ,  AY     P,06/16/25,12:04,675-35191,94109-14000,"WASHER, DRAIN (14MM)",,SLS,1,0.38,0.93,12,143702WBLACK,FAKE_53,CTR,455515,143702,498396,,HP94109-14000
Delta Dealer,HP, ,  AY     P,06/16/25,12:34,676-34173,42753-TR3-A81,"SENSOR ASSY., TPMS",,SLS,1,27.88,82.85,3,144626IMUNOZ,FAKE_109,197A,140746,577572,406294,,HP42753-TR3-A81
Delta Dealer,HP,,,06/16/25,12:04,676-35191,FAKE_1,0W20VAL/MAXLIFE,,SLS,4,2.52,6.18,18,143702WBLACK,FAKE_53,BULK,455515,143702,498396,,HPSAE020
Delta Dealer,HP, ,  AY     P,06/16/25,12:34,677-34173,42754-SHJ-A71,"NUT, TPMS VALVE",,SLS,1,5.30,23.20,4,144626IMUNOZ,FAKE_109,194G,140746,577572,406294,,HP42754-SHJ-A71
Delta Dealer,PK,,,06/16/25,12:05,677-35191,BF,,,SLS,1,0.00,0.00,,143702WBLACK,FAKE_125,,140746,143702,440993,,PKBF
Delta Dealer,HP, ,  AY     P,06/16/25,12:34,678-34173,42755-SHJ-A51,"WASHER, TPMS VALVE",,SLS,1,4.16,21.76,4,144626IMUNOZ,FAKE_109,194H,140746,577572,406294,,HP42755-SHJ-A51
Delta Dealer,HP,,,06/16/25,12:05,678-35191,608334,CHARLES HALL,,SLS,1,20.14,67.99,24,143702WBLACK,FAKE_125,187,140746,143702,440993,,HP608334
Delta Dealer,HP, ,  AY     P,06/16/25,12:07,679-35191,15400-PLM-A02,"FILTER, OIL",,SLS,1,5.62,13.79,12,143702WBLACK,FAKE_27,301,141903,143702,595248,,HP15400-PLM-A02
Delta Dealer,HP, ,  AY     P,06/16/25,12:07,680-35191,94109-14000,"WASHER, DRAIN (14MM)",,SLS,1,0.38,0.93,12,143702WBLACK,FAKE_27,CTR,141903,143702,595248,,HP94109-14000
