SYS.STBR-NAME,MAKE,DTL-6,DTL-CAT,TRANS-DATE,DOROTHY HILL,TRANS #,PART #,DESC,Ideal Components,TRANS-TYPE,TRANS-QTY,Central Supply,SALE,SRC-CAT,USER-ID,INV-NO,BIN1-DR,ADV-NO,CTRMN,CUST-NO,CUST-PO,PART-NO
Delta Dealer,HP, ,  Z      P,06/16/25,12:21,524-33632,32117-THR-AD0,"HARN, INSTRUMENT",,DLT,0,"1,030.27",,6,120982MWERTZ,,SPORD,,,,,HP32117-THR-AD0
Delta Dealer,HP, ,  Z      P,06/16/25,10:18,524-34867,74206-TA0-A00,"GARN, R. FR. FENDER",,ADD,0,21.31,,6,141331JCUARE,,SPORD,,,,,HP74206-TA0-A00
Delta Dealer,HP, ,  AY     P,06/16/25,07:44,524-34870,71501-TLA-A70,"FACE, RR. BUMPER",,SLS,1,196.49,180.00,6,141331JCUARE,463598,SPORD,,141331,999022,76088,HP71501-TLA-A70
Delta Dealer,HP, ,+ AY     P,06/16/25,08:26,524-42679,71110-TG7-A50,"GARNISH, FR.",SP,SLS,1,211.70,231.25,6,102391CSLOOP,FAKE_16,735B,109921,254459,232695,,HP71110-TG7-A50
Delta Dealer,HP, ,  AY     P,06/16/25,10:58,524-42894,94109-14000,"WASHER, DRAIN (14MM)",,SLS,1,0.38,0.81,12,144626IMUNOZ,FAKE_17,CTR,140059,577572,555349,,HP94109-14000
Delta Dealer,HP,,,06/16/25,08:49,524-47960,68408279-AB,SEAL,IO,SLS,1,19.73,26.30,6,141328DMILLE,FAKE_15,,162678,254459,595201,,HP68408279-AB
Delta Dealer,HP, ,  C      A,06/16/25,09:22,524-58705,08L04-THR-100,CROSSBARS,,SLS,1,134.10,226.00,7,143825NISAAC,FAKE_18,504B,455515,143825,360834,,HP08L04-THR-100
Delta Dealer,HP,,,06/16/25,13:01,524-87604,92-0702,DOROTHY HILL,,SLS,4,5.13,10.99,22,144285BRIVER,FAKE_19,195E,301595,144285,100,,HP92-0702
Delta Dealer,HP,,,06/16/25,13:06,525-11966,62030-6GP0A,BAR,IO,PUR,1,424.96,0.00,6,141328DMILLE,FAKE_1,,112803,296430,,,HP62030-6GP0A
Delta Dealer,HP, ,  C      A,06/16/25,13:38,525-13558,08P04-3A0-100,JENNIFER JACKSON,,SLS,1,61.20,102.00,7,101255JMCMAH,FAKE_20,749B,451708,161529,999006,,HP08P04-3A0-100
Delta Dealer,HP, ,  AY     P,06/16/25,13:31,525-16766,15400-PLM-A02,"FILTER, OIL",,SLS,1,5.62,6.18,12,143825NISAAC,FAKE_3,301,136057,143825,25716,,HP15400-PLM-A02
Delta Dealer,HP, ,  Z      P,06/16/25,06:42,525-17011,52350-TA0-A00,"ARM B, RR. (LOWER)",,SLS,1,78.12,91.15,6,25957CHAGLER,463568,SPORD,,206,368452,33818,HP52350-TA0-A00
Delta Dealer,HP, ,  C      P,06/16/25,12:21,525-33632,67410-T2A-H11ZZ,"HINGE, R. FR. DOOR",,RET,1,50.71,,6,120982MWERTZ,,SPORD,,,,,HP67410-T2A-H11ZZ
Delta Dealer,HP, ,  BY     P,06/16/25,10:22,525-34867,71140-TA0-A00,"BEAM, R. FR. BUMPER",,SLS,1,12.83,17.20,5,141331JCUARE,463644,541,,141331,164886,,HP71140-TA0-A00
Delta Dealer,HP, ,  BY     P,06/16/25,07:44,525-34870,74954-TLA-A51,"SENSOR ASSY., L.",,SLS,1,135.14,157.67,6,141331JCUARE,463598,SPORD,,141331,999022,76088,HP74954-TLA-A51
Delta Dealer,HP, ,  C      P,06/16/25,08:26,525-42679,71114-TG7-A60,"TRIM, R. FR.",SP,SLS,1,37.03,44.94,6,102391CSLOOP,FAKE_16,SPORD,109921,254459,232695,,HP71114-TG7-A60
Delta Dealer,HP,,,06/16/25,10:58,525-42894,FAKE_1,0W20VAL/MAXLIFE,,SLS,5,2.52,5.34,18,144626IMUNOZ,FAKE_17,BULK,140059,577572,555349,,HPSAE020
Delta Dealer,HP,,,06/16/25,08:49,525-47960,68408279-AB,SEAL,IO,PUR,1,19.73,0.00,6,141328DMILLE,FAKE_15,,162678,254459,,,HP68408279-AB
Delta Dealer,HP, ,  C      A,06/16/25,09:22,525-58705,08L02-THR-102,"RAIL, ROOF",,RV,-1,223.30,372.00,7,143825NISAAC,FAKE_18,564C,455515,143825,360834,,HP08L02-THR-102
Delta Dealer,HP, ,  AY     P,06/16/25,13:01,525-87604,90471-PX4-000,"WASHER, DRAIN (18MM)",,SLS,1,3.71,6.29,12,144285BRIVER,FAKE_19,CTR,301595,144285,100,,HP90471-PX4-000
Delta Dealer,HP,,,06/16/25,13:06,526-11966,68399-1JY0A,RIVET,IO,SLS,13,2.83,4.29,6,141328DMILLE,FAKE_1,,112803,296430,596705,,HP68399-1JY0A
Delta Dealer,HP, ,  A      A,06/16/25,13:38,526-13558,08W42-SCV-103,LOCK SET (CHROME),,SLS,1,36.80,65.00,7,101255JMCMAH,FAKE_20,749B,451708,161529,999006,,HP08W42-SCV-103
Delta Dealer,HP, ,  Z      P,06/16/25,13:31,526-16766,FS020-BAS-N0L,"OIL, FULLSYN (0W20)",,RV,-5,2.98,5.16,18,143825NISAAC,FAKE_3,BULK,136057,143825,25716,,HPFS020-BAS-N0L
Delta Dealer,HP, ,  Z      P,06/16/25,06:42,526-17011,52370-TA0-A00,"ARM A, R. RR.",,SLS,1,68.71,80.17,6,25957CHAGLER,463568,SPORD,,206,368452,33818,HP52370-TA0-A00
Delta Dealer,PK,,,06/16/25,07:33,526-32789,ATFF,,,SLS,1,0.00,0.00,,18927THELMS,FAKE_21,,136057,103226,597228,,PKATFF
Delta Dealer,HP, ,  C      P,06/16/25,12:21,526-33632,67410-T2A-H11ZZ,"HINGE, R. FR. DOOR",,DLT,0,50.71,,6,120982MWERTZ,,SPORD,,,,,HP67410-T2A-H11ZZ
Delta Dealer,HP, ,  Z      P,06/16/25,10:22,526-34867,74176-TA0-A00,"BRACKET, L. (UPPER)",SP,SLS,1,8.02,10.80,6,141331JCUARE,463644,SPORD,,141331,164886,,HP74176-TA0-A00
Delta Dealer,HP, ,  AY     P,06/16/25,07:44,526-34870,75722-TLA-A00,"EMBLEM, RR.",,SLS,1,28.40,33.14,3,141331JCUARE,463598,185,,141331,999022,76088,HP75722-TLA-A00
Delta Dealer,HP, ,  AY     P,06/16/25,08:26,526-42679,71103-TG7-A50,"GARNISH B, R. FR.",,SLS,1,28.90,36.25,5,102391CSLOOP,FAKE_16,541,109921,254459,232695,,HP71103-TG7-A50
Delta Dealer,HP, ,  AY     P,06/16/25,11:03,526-42894,15400-PLM-A02,"FILTER, OIL",,SLS,1,5.62,13.79,12,144626IMUNOZ,FAKE_22,301,141903,577572,315525,,HP15400-PLM-A02
Delta Dealer,HP,,,06/16/25,08:49,526-47960,68408300-AB,SEAL,IO,SLS,1,18.56,24.75,6,141328DMILLE,FAKE_15,,162678,254459,595201,,HP68408300-AB
Delta Dealer,HP, ,  C      A,06/16/25,09:22,526-58705,08L02-THR-102,"RAIL, ROOF",,SLS,1,223.30,245.63,7,143825NISAAC,FAKE_18,564C,455515,143825,360834,,HP08L02-THR-102
Delta Dealer,HP, ,+ BY     P,06/16/25,13:01,526-87604,11107-PWA-300,WASHER (24MM),,SLS,1,1.89,3.15,6,144285BRIVER,FAKE_19,228D,301595,144285,100,,HP11107-PWA-300
Delta Dealer,HP,,,06/16/25,13:06,527-11966,68399-1JY0A,RIVET,IO,PUR,13,2.83,0.00,6,141328DMILLE,FAKE_1,,112803,296430,,,HP68399-1JY0A
Delta Dealer,HP, ,  A      A,06/16/25,13:38,527-13558,08U45-3A0-100A,"TRAY, CARGO",,SLS,1,79.60,79.60,7,101255JMCMAH,FAKE_20,757B,451708,161529,999006,,HP08U45-3A0-100A
Delta Dealer,HP, ,  Z      P,06/16/25,13:31,527-16766,FS020-BAS-N0L,"OIL, FULLSYN (0W20)",,SLS,5,2.98,3.29,18,143825NISAAC,FAKE_3,BULK,136057,143825,25716,,HPFS020-BAS-N0L
Delta Dealer,HP, ,  BY     P,06/16/25,07:02,527-17011,71677-T20-A00,"FRAME, L. RR. BUMPER",,SLS,1,4.28,5.00,6,25957CHAGLER,463571-1,SPORD,,206,999198,550941 DG,HP71677-T20-A00
Delta Dealer,HP,,,06/16/25,07:33,527-32789,VP094,JAMES GARCIA,,SLS,1,18.47,29.99,24,18927THELMS,FAKE_21,188,136057,103226,597228,,FAKE_2
Delta Dealer,HP, ,  Z      P,06/16/25,12:21,527-33632,13558314,"SWITCH, L. FR.",,RET,1,22.90,,6,120982MWERTZ,,SPORD,,,,,HP13558314
Delta Dealer,HP, ,  Z      P,06/16/25,10:22,527-34867,74171-TA0-A00,"BRACKET, R. (UPPER)",SP,SLS,1,7.99,10.76,6,141331JCUARE,463644,SPORD,,141331,164886,,HP74171-TA0-A00
Delta Dealer,HP, ,  AY     P,06/16/25,07:44,527-34870,75719-TLA-A00,"EMBLEM, RR.",,SLS,1,22.88,26.70,4,141331JCUARE,463598,185,,141331,999022,76088,HP75719-TLA-A00
Delta Dealer,HP, ,  C      P,06/16/25,08:26,527-42679,60211-TG7-A10ZZ,"PANEL, R. FR. FENDER",SP,SLS,1,386.70,425.36,6,102391CSLOOP,FAKE_16,SPORD,109921,254459,232695,,HP60211-TG7-A10ZZ
Delta Dealer,HP, ,  AY     P,06/16/25,11:03,527-42894,94109-14000,"WASHER, DRAIN (14MM)",,SLS,1,0.38,0.93,12,144626IMUNOZ,FAKE_22,CTR,141903,577572,315525,,HP94109-14000
Delta Dealer,HP,,,06/16/25,08:49,527-47960,68408300-AB,SEAL,IO,PUR,1,18.56,0.00,6,141328DMILLE,FAKE_15,,162678,254459,,,HP68408300-AB
Delta Dealer,HP, ,  C      A,06/16/25,09:22,527-58705,08L04-THR-100,CROSSBARS,,RV,-1,134.10,226.00,7,143825NISAAC,FAKE_18,504B,455515,143825,360834,,HP08L04-THR-100
Delta Dealer,HP, ,  B      P,06/16/25,13:01,527-87604,08200-9015,ATF-TYPE 2.0,,SLS,5,7.90,14.17,9,144285BRIVER,FAKE_19,309,301595,144285,100,,HP08200-9015
Delta Dealer,HP,,,06/16/25,13:06,528-11966,11296-AG000,CLIP,IO,SLS,4,2.21,3.35,6,141328DMILLE,FAKE_1,,112803,296430,596705,,HP11296-AG000
Delta Dealer,HP, ,  A      A,06/16/25,13:38,528-13558,08P00-3A0-100,RUTH CARTER,,SLS,1,79.60,133.00,7,101255JMCMAH,FAKE_20,737C,451708,161529,999006,,HP08P00-3A0-100
Delta Dealer,HP, ,  AY     P,06/16/25,13:31,528-16766,94109-14000,"WASHER, DRAIN (14MM)",,RV,-1,0.38,2.69,12,143825NISAAC,FAKE_3,CTR,136057,143825,25716,,HP94109-14000
Delta Dealer,HP, ,  BY     P,06/16/25,07:02,528-17011,71591-T20-A00,"GARNISH, L. RR.",,SLS,1,9.68,11.30,5,25957CHAGLER,463571-1,151,,206,999198,550941 DG,HP71591-T20-A00
Delta Dealer,HP, ,  Z      P,06/16/25,07:33,528-32789,08200-9008,FLUID (ATF DW-1),,SLS,9,6.07,11.63,9,18927THELMS,FAKE_21,320,136057,103226,597228,,HP08200-9008
Delta Dealer,HP, ,  Z      P,06/16/25,12:21,528-33632,13558314,"SWITCH, L. FR.",,DLT,0,22.90,,6,120982MWERTZ,,SPORD,,,,,HP13558314
Delta Dealer,HP, ,  Z      P,06/16/25,10:22,528-34867,74206-TA0-A00,"GARN, R. FR. FENDER",SP,SLS,1,21.31,28.52,6,141331JCUARE,463644,SPORD,,141331,164886,,HP74206-TA0-A00
Delta Dealer,HP, ,  AY     P,06/16/25,07:44,528-34870,71519-TLA-A11,"MOLDING, L. RR.",,SLS,1,20.28,23.67,5,141331JCUARE,463598,172,,141331,999022,76088,HP71519-TLA-A11
Delta Dealer,HP, ,  AY     P,06/16/25,08:26,528-42679,74101-TG7-A01,"FDR, R. FR. (INNER)",,SLS,1,79.68,126.00,5,102391CSLOOP,FAKE_16,500H,109921,254459,232695,,HP74101-TG7-A01
Delta Dealer,HP,,,06/16/25,11:03,528-42894,FAKE_1,0W20VAL/MAXLIFE,,SLS,4,2.52,6.18,18,144626IMUNOZ,FAKE_22,BULK,141903,577572,315525,,HPSAE020
Delta Dealer,HP,,,06/16/25,08:49,528-47960,68430842-AC,BRACKET,IO,SLS,1,31.61,42.15,6,141328DMILLE,FAKE_15,,162678,254459,595201,,HP68430842-AC
Delta Dealer,HP, ,  C      A,06/16/25,09:22,528-58705,08L04-THR-100,CROSSBARS,,SLS,1,134.10,147.51,7,143825NISAAC,FAKE_18,504B,455515,143825,360834,,HP08L04-THR-100
Delta Dealer,PK,,,06/16/25,13:01,528-87604,FAKE_1,,,SLS,1,0.00,0.00,,144285BRIVER,FAKE_19,,301595,144285,100,,PKSAE020
Delta Dealer,HP,,,06/16/25,13:06,529-11966,11296-AG000,CLIP,IO,PUR,4,2.21,0.00,6,141328DMILLE,FAKE_1,,112803,296430,,,HP11296-AG000
Delta Dealer,HP,,,06/16/25,13:41,529-13558,59-0023,CAP,,SLS,1,5.00,41.00,19,101255JMCMAH,FAKE_23,SHOP,451708,161529,999006,,HP59-0023
Delta Dealer,HP, ,  AY     P,06/16/25,13:31,529-16766,94109-14000,"WASHER, DRAIN (14MM)",,SLS,1,0.38,0.42,12,143825NISAAC,FAKE_3,CTR,136057,143825,25716,,HP94109-14000
Delta Dealer,HP, ,  BY     P,06/16/25,07:25,529-17011,71240-3W0-A00,"BEAM, R. FR. (UPPER)",,SLS,1,66.11,66.00,6,25957CHAGLER,463580-1,SPORD,,206,999025,517530,HP71240-3W0-A00
Delta Dealer,HP, ,  AY     P,06/16/25,07:33,529-32789,90471-PX4-000,"WASHER, DRAIN (18MM)",,SLS,1,3.71,8.81,12,18927THELMS,FAKE_21,CTR,136057,103226,597228,,HP90471-PX4-000
Delta Dealer,HP, ,  Z      P,06/16/25,12:21,529-33632,73510-T90-A01,"GLASS SET, R.",,RET,1,227.29,,6,120982MWERTZ,,SPORD,,,,,HP73510-T90-A01
Delta Dealer,HP, ,  C      P,06/16/25,10:22,529-34867,71123-TA0-A01,Hope Parts Ltd,SP,SLS,1,16.70,22.36,6,141331JCUARE,463644,506D,,141331,164886,,HP71123-TA0-A01
Delta Dealer,HP, ,  BY     P,06/16/25,07:53,529-34870,68100-TGS-A02ZZ,TAILGATE,,SLS,1,"1,007.32",1141.63,6,141331JCUARE,463461-1,SPORD,,141331,1502,18011673,HP68100-TGS-A02ZZ
Delta Dealer,HP, ,  AY     P,06/16/25,08:26,529-42679,74115-TG7-A00,"PROTECTOR, R. FR.",,SLS,1,37.12,40.80,4,102391CSLOOP,FAKE_16,502B,109921,254459,232695,,HP74115-TG7-A00
Delta Dealer,HP, ,  AY     P,06/16/25,11:23,529-42894,39624-T5A-J01,SOCKET ASSY.,SB,RV,-1,13.07,22.60,5,144626IMUNOZ,FAKE_24,192B,141866,103226,582105,,HP39624-T5A-J01
Delta Dealer,HP,,,06/16/25,08:49,529-47960,68430842-AC,BRACKET,IO,PUR,1,31.61,0.00,6,141328DMILLE,FAKE_15,,162678,254459,,,HP68430842-AC
Delta Dealer,HP, ,  AY     P,06/16/25,09:25,529-58705,06311-RV0-516RM,ALTERNATOR,RC,CM,-1,75.00,75.00,4,143825NISAAC,CM463612,104,,143825,571421,177804JH,HP06311-RV0-516RM
Delta Dealer,HP, ,  AY     P,06/16/25,13:01,529-87604,15400-PLM-A02,"FILTER, OIL",,SLS,1,5.62,9.46,12,144285BRIVER,FAKE_19,301,301595,144285,100,,HP15400-PLM-A02
Delta Dealer,HP,,,06/16/25,13:06,530-11966,26010-6GR0A,LAMP,IO,SLS,1,"1,105.37",1674.80,6,141328DMILLE,FAKE_1,,112803,296430,596705,,HP26010-6GR0A
Delta Dealer,HP, ,  C      A,06/16/25,13:41,530-13558,08P04-3A0-100,JENNIFER JACKSON,,SLS,1,61.20,102.00,7,101255JMCMAH,FAKE_23,749B,451708,161529,999006,,HP08P04-3A0-100
Delta Dealer,HP, ,  BY     P,06/16/25,07:25,530-17011,71290-3W0-A00,"BEAM, L. FR. (UPPER)",,SLS,1,66.11,66.00,6,25957CHAGLER,463580-1,SPORD,,206,999025,517530,HP71290-3W0-A00
Delta Dealer,HP, ,+ BY     P,06/16/25,07:33,530-32789,11107-PWA-300,WASHER (24MM),,SLS,1,1.89,10.98,6,18927THELMS,FAKE_21,228D,136057,103226,597228,,HP11107-PWA-300
Delta Dealer,HP, ,  Z      P,06/16/25,12:21,530-33632,73510-T90-A01,"GLASS SET, R.",,DLT,0,227.29,,6,120982MWERTZ,,SPORD,,,,,HP73510-T90-A01
Delta Dealer,HP, ,  AY     P,06/16/25,10:53,530-34867,75312-T0A-A01,"GARNISH, R. FR. DOOR",,SLS,1,85.30,99.53,5,141331JCUARE,463646,553C,,141331,00000604,6458517,HP75312-T0A-A01
Delta Dealer,HP, ,  Z      P,06/16/25,08:07,530-34870,31100-RJA-A02,ALTERNATOR (CSD69),,ADD,0,438.57,,6,141331JCUARE,,SPORD,,,,,HP31100-RJA-A02
Delta Dealer,HP, ,  B      A,06/16/25,08:26,530-42679,08P00-TG7-100A,RUTH CARTER,,SLS,1,79.60,133.00,7,102391CSLOOP,FAKE_16,402,109921,254459,232695,,HP08P00-TG7-100A
Delta Dealer,HP, ,  AY     P,06/16/25,11:23,530-42894,39624-T5A-J01,SOCKET ASSY.,,SLS,2,13.07,22.60,5,144626IMUNOZ,FAKE_24,192B,141866,103226,582105,,HP39624-T5A-J01
Delta Dealer,HP,,,06/16/25,08:49,530-47960,68466100-AA,SEAL,IO,SLS,1,13.54,18.05,6,141328DMILLE,FAKE_15,,162678,254459,595201,,HP68466100-AA
Delta Dealer,HP,,,06/16/25,10:14,530-58705,WLKEY,RICHARD ROBINSON,,SLS,1,11.95,36.00,39,143825NISAAC,463643,194C,,143825,136466,,HPWLKEY
Delta Dealer,HP, ,  Z      P,06/16/25,13:01,530-87604,FS020-BAS-N0L,"OIL, FULLSYN (0W20)",,SLS,6,2.98,5.16,18,144285BRIVER,FAKE_19,BULK,301595,144285,100,,HPFS020-BAS-N0L
Delta Dealer,HP,,,06/16/25,13:06,531-11966,26010-6GR0A,LAMP,IO,PUR,1,"1,105.37",0.00,6,141328DMILLE,FAKE_1,,112803,296430,,,HP26010-6GR0A
Delta Dealer,HP, ,  A      A,06/16/25,13:41,531-13558,08W42-SCV-103,LOCK SET (CHROME),,SLS,1,36.80,65.00,7,101255JMCMAH,FAKE_23,749B,451708,161529,999006,,HP08W42-SCV-103
Delta Dealer,HP, ,  AY     P,06/16/25,07:25,531-17011,33150-3W0-A02,"HEADLIGHT ASSY., L.",,SLS,1,372.05,435.00,6,25957CHAGLER,463580-1,SPORD,,206,999025,517530,HP33150-3W0-A02
Delta Dealer,HP, ,+ BY     P,06/16/25,07:33,531-32789,11107-PWA-300,WASHER (24MM),,SLS,1,1.89,10.98,6,18927THELMS,FAKE_21,228D,136057,103226,597228,,HP11107-PWA-300
Delta Dealer,HP, ,  BY     P,06/16/25,12:21,531-33632,91505-TBA-003,Delta Parts Ltd,,RET,12,0.43,,6,120982MWERTZ,,SPORD,,,,,HP91505-TBA-003
Delta Dealer,HP, ,+ AY     P,06/16/25,10:53,531-34867,75313-T0A-A01,"GARNISH, R. RR. DOOR",,SLS,1,84.06,98.08,5,141331JCUARE,463646,553C,,141331,00000604,6458517,HP75313-T0A-A01
Delta Dealer,HP, ,  Z      P,06/16/25,08:24,531-34870,44017-TR0-A11,"BOOT SET, INBOARD",,SLS,1,35.03,42.05,6,141331JCUARE,463560,SPORD,,246245,999015,118277SN,HP44017-TR0-A11
Delta Dealer,HP, ,  C      P,06/16/25,08:26,531-42679,42700-TG7-A82,DISK (20X8J),SP,SLS,1,443.63,567.00,6,102391CSLOOP,FAKE_16,SPORD,109921,254459,232695,,HP42700-TG7-A82
Delta Dealer,HP, ,  AY     P,06/16/25,12:50,531-42894,72148-SLJ-000,BATTERY (CR2032),,SLS,1,3.60,8.60,12,144626IMUNOZ,463656,195B,,577572,87705,,HP72148-SLJ-000
Delta Dealer,HP,,,06/16/25,08:49,531-47960,68466100-AA,SEAL,IO,PUR,1,13.54,0.00,6,141328DMILLE,FAKE_15,,162678,254459,,,HP68466100-AA
Delta Dealer,HP, ,  AY     P,06/16/25,10:19,531-58705,15400-PLM-A02,"FILTER, OIL",,RV,-1,5.62,11.93,12,143825NISAAC,FAKE_25,301,278,577572,505820,,HP15400-PLM-A02
Delta Dealer,HP, ,  AY     P,06/16/25,13:01,531-87604,94109-14000,"WASHER, DRAIN (14MM)",,SLS,1,0.38,0.73,12,144285BRIVER,FAKE_19,CTR,301595,144285,100,,HP94109-14000
Delta Dealer,HP,,,06/16/25,13:06,532-11966,B5344-1EM1A,ACTUATOR,IO,SLS,1,849.53,1287.16,6,141328DMILLE,FAKE_1,,112803,296430,596705,,HPB5344-1EM1A
Delta Dealer,HP, ,  A      A,06/16/25,13:41,532-13558,08U45-3A0-100A,"TRAY, CARGO",,SLS,1,79.60,79.60,7,101255JMCMAH,FAKE_23,757B,451708,161529,999006,,HP08U45-3A0-100A
Delta Dealer,HP, ,  BY     P,06/16/25,07:25,532-17011,71321-3W0-A00,"PLATE, FR. (UPPER)",,SLS,1,30.74,38.43,6,25957CHAGLER,463580-1,SPORD,,206,999025,517530,HP71321-3W0-A00
Delta Dealer,HP, ,+ BY     P,06/16/25,07:33,532-32789,11107-PWA-300,WASHER (24MM),,RV,-1,1.89,10.98,6,18927THELMS,FAKE_21,228D,136057,103226,597228,,HP11107-PWA-300
Delta Dealer,HP, ,  Z      P,06/16/25,12:21,532-33632,01464-TVA-A01,"HOSE SET, R. FR.",,RET,1,16.11,,6,120982MWERTZ,,SPORD,,,,,HP01464-TVA-A01
Delta Dealer,HP, ,  AY     P,06/16/25,10:53,532-34867,75390-T0A-A01,"GARNISH, R. RR.",,SLS,1,13.53,15.80,5,141331JCUARE,463646,154,,141331,00000604,6458517,HP75390-T0A-A01
Delta Dealer,HP, ,  AY     P,06/16/25,08:26,532-34870,15400-PLM-A02,"FILTER, OIL",,SLS,1,5.62,9.72,12,141331JCUARE,FAKE_26,301,140746,141331,552272,,HP15400-PLM-A02
Delta Dealer,HP, ,  BY     P,06/16/25,08:26,532-42679,44600-TG7-A00,"HUB ASSY., FR.",SP,SLS,1,105.56,175.93,6,102391CSLOOP,FAKE_16,SPORD,109921,254459,232695,,HP44600-TG7-A00
Delta Dealer,HP, ,  AY     P,06/16/25,12:56,532-42894,90471-59C-000,GASKET (10MM),,SLS,1,2.95,16.01,6,144626IMUNOZ,FAKE_27,228D,141903,577572,595248,,HP90471-59C-000
Delta Dealer,HP,,,06/16/25,08:49,532-47960,68466101-AA,SEAL,IO,SLS,1,13.54,18.05,6,141328DMILLE,FAKE_15,,162678,254459,595201,,HP68466101-AA
Delta Dealer,HP, ,  AY     P,06/16/25,10:19,532-58705,94109-14000,"WASHER, DRAIN (14MM)",,RV,-1,0.38,0.81,12,143825NISAAC,FAKE_25,CTR,278,577572,505820,,HP94109-14000
Delta Dealer,HP, ,  AY     P,06/16/25,13:01,532-87604,12343-RPY-G01,Fast Parts Co,,SLS,1,1.69,2.82,3,144285BRIVER,FAKE_19,196D,301595,144285,100,,HP12343-RPY-G01
Delta Dealer,HP,,,06/16/25,13:06,533-11966,B5344-1EM1A,ACTUATOR,IO,PUR,1,849.53,0.00,6,141328DMILLE,FAKE_1,,112803,296430,,,HPB5344-1EM1A
Delta Dealer,HP, ,  A      A,06/16/25,13:41,533-13558,08P00-3A0-100,RUTH CARTER,,SLS,1,79.60,133.00,7,101255JMCMAH,FAKE_23,737C,451708,161529,999006,,HP08P00-3A0-100
Delta Dealer,HP, ,  BY     P,06/16/25,07:25,533-17011,71325-3W0-A00,"PLATE, FR.",,SLS,1,87.56,109.46,6,25957CHAGLER,463580-1,SPORD,,206,999025,517530,HP71325-3W0-A00
Delta Dealer,HP,,,06/16/25,07:46,533-32789,HEET,CHARLES HALL,,SLS,1,3.81,4.20,19,18927THELMS,463630,106,,103226,IS102291A,,HPHEET
Delta Dealer,HP, ,  Z      P,06/16/25,12:21,533-33632,01464-TVA-A01,"HOSE SET, R. FR.",,DLT,0,16.11,,6,120982MWERTZ,,SPORD,,,,,HP01464-TVA-A01
Delta Dealer,HP, ,  C      P,06/16/25,11:03,533-34867,75333-T90-A21,"GARNISH, L. RR. DOOR",,ADD,0,88.82,,6,141331JCUARE,,SPORD,,,,,HP75333-T90-A21
Delta Dealer,HP, ,  AY     P,06/16/25,08:26,533-34870,94109-14000,"WASHER, DRAIN (14MM)",,SLS,1,0.38,0.66,12,141331JCUARE,FAKE_26,CTR,140746,141331,552272,,HP94109-14000
Delta Dealer,HP, ,  AY     P,06/16/25,08:26,533-42679,44300-TG7-A01,"BEARING, FR. HUB",,SLS,1,63.78,106.30,4,102391CSLOOP,FAKE_16,134,109921,254459,232695,,HP44300-TG7-A01
Delta Dealer,HP, ,  Z      P,06/16/25,12:56,533-42894,08200-HCF2,FLUID (HCF-2),,SLS,9,8.27,15.47,9,144626IMUNOZ,FAKE_27,320,141903,577572,595248,,HP08200-HCF2
Delta Dealer,HP,,,06/16/25,08:49,533-47960,68466101-AA,SEAL,IO,PUR,1,13.54,0.00,6,141328DMILLE,FAKE_15,,162678,254459,,,HP68466101-AA
Delta Dealer,HP,,,06/16/25,10:19,533-58705,FAKE_1,0W20VAL/MAXLIFE,S,RV,-5,2.52,5.34,18,143825NISAAC,FAKE_25,BULK,278,577572,505820,,HPSAE020
Delta Dealer,HP, ,  AY     P,06/16/25,13:01,533-87604,12341-RPY-G01,Liberty Supply,,SLS,1,13.63,22.72,3,144285BRIVER,FAKE_19,196B,301595,144285,100,,HP12341-RPY-G01
Delta Dealer,HP,,,06/16/25,13:06,534-11966,B5345-1EM1A,ACTUATOR,IO,SLS,1,849.53,1287.16,6,141328DMILLE,FAKE_1,,112803,296430,596705,,HPB5345-1EM1A
Delta Dealer,HP,,,06/16/25,13:43,534-13558,59-0023,CAP,,SLS,1,5.00,41.00,19,101255JMCMAH,FAKE_28,SHOP,451708,161529,999006,,HP59-0023
Delta Dealer,HP, ,  C      P,06/16/25,07:25,534-17011,71415-3W0-A00,"FRAME, R. FR.",,SLS,1,10.81,13.53,6,25957CHAGLER,463580-1,SPORD,,206,999025,517530,HP71415-3W0-A00
Delta Dealer,PK,,,06/16/25,07:53,534-32789,EPS,,,SLS,1,0.00,0.00,,18927THELMS,FAKE_29,,121058,103226,287468,,PKEPS
Delta Dealer,HP, ,  BY     P,06/16/25,12:21,534-33632,04711-TVA-A11ZZ,"FACE, FR. BUMPER",,RET,1,277.71,,6,120982MWERTZ,,SPORD,,,,,HP04711-TVA-A11ZZ
Delta Dealer,PK,,,06/16/25,11:29,534-34867,FAKE_1,,,SLS,1,0.00,0.00,,141331JCUARE,FAKE_30,,121058,141331,483969,,PKSAE020
Delta Dealer,HP, ,  Z      P,06/16/25,08:26,534-34870,FS020-BAS-N0L,"OIL, FULLSYN (0W20)",,SLS,5,2.98,5.15,18,141331JCUARE,FAKE_26,BULK,140746,141331,552272,,HPFS020-BAS-N0L
Delta Dealer,HP, ,  C      P,06/16/25,08:26,534-42679,45255-TZ5-A00,"SPLASH GUARD, FR.",SP,SLS,1,21.11,35.18,6,102391CSLOOP,FAKE_16,SPORD,109921,254459,232695,,HP45255-TZ5-A00
Delta Dealer,HP, ,  AY     P,06/16/25,13:00,534-42894,12290-5PA-A01,S/PLG (ILZKAR8J8SY),,RV,-4,21.70,41.79,12,144626IMUNOZ,FAKE_31,227B,140059,103226,224233,,HP12290-5PA-A01
