"ACCT-NO","ACCT-DESC","BEG-BAL","CUR-BAL","END-BAL","PR-MO-ADJ-AMT","PR-YR-ADJ-AMT"
"1260A","P & A HONDA CARS",832199.77,16644.84,848844.61,,
"1261A","HONDA ACCESSORIES",104936.52,3580.36,108516.88,,
"1263A","OIL & GREASE",-1827.82,6679.23,4851.41,,
